Constituent Code,weight,Constituent Name,Constituent Name(Eng.),Exchange
600000,0.0128,浦发银行,Shanghai Pudong Development Bank Co Ltd,SHH
600008,0.0011,首创股份,Beijing Capital Co Ltd,SHH
600009,0.0035,上海机场,Shanghai International Airport Co Ltd,SHH
600010,0.0031,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd,SHH
600015,0.0052,华夏银行,Hua Xia Bank Co Ltd,SHH
600016,0.0184,民生银行,China Minsheng Banking Corp Ltd,SHH
600018,0.0021,上港集团,Shanghai International Port (Group) Co Ltd,SHH
600019,0.0073,宝钢股份,Baoshan Iron &Steel Co Ltd,SHH
600021,0.0007,上海电力,Shanghai Electric Power Co Ltd,SHH
600023,0.0019,浙能电力,"Zhejiang Zheneng Electric Power Co., Ltd.",SHH
600028,0.0056,中国石化,China Petroleum & Chemical Corporation,SHH
600029,0.0034,南方航空,China Southern Airlines Co Ltd,SHH
600030,0.0133,中信证券,CITIC Securities Co Ltd,SHH
600031,0.003,三一重工,Sany Heavy Industry Co Ltd,SHH
600036,0.0263,招商银行,China Merchants Bank Co Ltd,SHH
600037,0.0009,歌华有线,Beijing Gehua CATV Network Co Ltd,SHH
600038,0.0009,中直股份,"AVIC Helicopter Co.,Ltd.",SHH
600048,0.0079,保利地产,Poly Real Estate Group Co Ltd,SHH
600050,0.0056,中国联通,China United Network Communications Co Ltd,SHH
600060,0.0011,海信电器,Hisense Electric Co Ltd,SHH
600061,0.0011,国投资本,"SDIC Capital Co., Ltd",SHH
600066,0.0028,宇通客车,Zhengzhou Yutong Bus Co Ltd,SHH
600068,0.0022,葛洲坝,China Gezhouba Group Co Ltd,SHH
600074,0.0009,ST保千里,"Jiangsu Protruly Vision Technology Group Co., Ltd.",SHH
600085,0.0016,同仁堂,Beijing Tongrentang Co Ltd,SHH
600089,0.0033,特变电工,TBEA Co Ltd,SHH
600100,0.0017,同方股份,Tsinghua Tongfang Co Ltd,SHH
600104,0.0095,上汽集团,SAIC Motor Co Ltd,SHH
600109,0.002,国金证券,Sinolink Securities Co. Ltd.,SHH
600111,0.0027,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",SHH
600115,0.0019,东方航空,China Eastern Airlines Corp Ltd,SHH
600118,0.0013,中国卫星,China Spacesat Co Ltd,SHH
600150,0.0015,中国船舶,China CSSC Holdings Limited,SHH
600153,0.0014,建发股份,Xiamen C&D Inc,SHH
600157,0.0015,永泰能源,Wintime Energy Co Ltd,SHH
600170,0.0015,上海建工,Shanghai Construction Co Ltd,SHH
600177,0.0018,雅戈尔,Youngor Group Co Ltd,SHH
600188,0.0005,兖州煤业,Yanzhou Coal Mining Co Ltd,SHH
600196,0.0032,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,SHH
600208,0.0019,新湖中宝,Xinhu Zhongbao Co Ltd,SHH
600221,0.0018,海航控股,"Hainan Airlines Holding Co., Ltd.",SHH
600233,0.0005,圆通速递,"YTO Express Group Co.,Ltd.",SHH
600256,0.0012,广汇能源,"GUANGHUI ENERGY CO., LTD.",SHH
600271,0.0022,航天信息,"Aisino Co.,Ltd",SHH
600276,0.0097,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,SHH
600297,0.0016,广汇汽车,"China Grand Automotive Services Co., Ltd.",SHH
600309,0.0046,万华化学,"Wanhua Chemical Group Co., Ltd.",SHH
600332,0.0016,白云山,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED,SHH
600340,0.0033,华夏幸福,"China Fortune Land Development Co., Ltd.",SHH
600352,0.0022,浙江龙盛,Zhejiang Longsheng Group Co Ltd,SHH
600362,0.0017,江西铜业,Jiangxi Copper Co Ltd,SHH
600369,0.0013,西南证券,Southwest Securities Co Ltd,SHH
600372,0.0007,中航电子,"CHINA AVIONICS SYSTEMS CO.,LTD.",SHH
600373,0.0009,中文传媒,Chinese Universe Publishing And Media Co Ltd,SHH
600376,0.0009,首开股份,"Beijing Capital Development Co.,Ltd.",SHH
600383,0.0025,金地集团,Gemdale Corporation,SHH
600406,0.0024,国电南瑞,"NARI Technology Co., Ltd.",SHH
600415,0.0015,小商品城,Zhejiang China Commodities City Group Co Ltd,SHH
600436,0.0016,片仔癀,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,SHH
600446,0.0007,金证股份,Shenzhen Kingdom Technology Co Ltd,SHH
600482,0.0008,中国动力,"China Shipbuilding Industry Group Power Co.,Ltd",SHH
600485,0.0023,信威集团,"Beijing Xinwei Telecom Technology Group Co., Ltd.",SHH
600489,0.0015,中金黄金,Zhongjin Gold Co Ltd,SHH
600498,0.0015,烽火通信,Fiberhome Telecommunication Technologies Co Ltd,SHH
600518,0.0055,康美药业,Kangmei Pharmaceutical Co Ltd,SHH
600519,0.0279,贵州茅台,Kweichow Moutai Co Ltd,SHH
600522,0.0028,中天科技,Jiangsu Zhongtian Technologies Co Ltd,SHH
600535,0.0021,天士力,"TASLY PHARMACEUTICAL GROUP CO.,LTD",SHH
600547,0.002,山东黄金,Shandong Gold-Mining Co Ltd,SHH
600549,0.001,厦门钨业,Xiamen Tungsten Co Ltd,SHH
600570,0.002,恒生电子,Hundsun Technologies Inc.,SHH
600583,0.0012,海油工程,Offshore Oil Engineering Co Ltd,SHH
600585,0.0055,海螺水泥,Anhui Conch Cement Co Ltd,SHH
600588,0.0013,用友网络,"Yonyou Network Technology Co., Ltd.",SHH
600606,0.0023,绿地控股,Greenland Holdings Corporation Limited,SHH
600637,0.0021,东方明珠,"Shanghai Oriental Pearl Media Co., Ltd.",SHH
600649,0.001,城投控股,"Shanghai Chengtou Holding Co., Ltd.",SHH
600660,0.0032,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd",SHH
600663,0.0014,陆家嘴,Shanghai Lujiazui Finance and Trade Zone Development Co Ltd,SHH
600674,0.0019,川投能源,Sichuan Chuantou Energy Co Ltd,SHH
600682,0.0015,南京新百,Nanjing Xinjiekou Department Store Co Ltd,SHH
600685,0.0008,中船防务,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,SHH
600688,0.0012,上海石化,Sinopec Shanghai Petrochemical Co Ltd,SHH
600690,0.0046,青岛海尔,Qingdao Haier Co Ltd,SHH
600703,0.0052,三安光电,"Sanan Optoelectronics Co.,Ltd",SHH
600704,0.0011,物产中大,Zhejiang Material Industrial Zhongda Yuantong Group Co Ltd,SHH
600705,0.0024,中航资本,"AVIC CAPITAL CO.,LTD.",SHH
600718,0.0012,东软集团,Neusoft Corporation,SHH
600737,0.0008,中粮糖业,"COFCO TUNHE SUGAR CO.,LTD.",SHH
600739,0.0019,辽宁成大,Liaoning Cheng Da Co Ltd,SHH
600741,0.0035,华域汽车,HUAYU Automotive Systems Company Limited,SHH
600795,0.0035,国电电力,GD Power Development Co Ltd,SHH
600804,0.002,鹏博士,"DR. PENG TELECOM&MEDIA GROUP CO., LTD.",SHH
600816,0.0022,安信信托,"Anxin Trust Co., Ltd",SHH
600820,0.0015,隧道股份,Shanghai Tunnel Engineering Co Ltd,SHH
600827,0.0009,百联股份,"Shanghai Bailian Group Co.,Ltd.",SHH
600837,0.0102,海通证券,Haitong Securities Company Limited,SHH
600871,0.0005,石化油服,Sinopec Oilfield Service Corporation,SHH
600886,0.0027,国投电力,"SDIC Power Holdings Co.,Ltd.",SHH
600887,0.0153,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd,SHH
600893,0.0022,航发动力,AVIC AVIATION ENGINE CORPORATION PLC.,SHH
600895,0.0011,张江高科,Shanghai Zhangjiang Hi-tech Park Development Co Ltd,SHH
600900,0.0096,长江电力,China Yangtze Power Co Ltd,SHH
600909,0.0008,华安证券,"HUAAN SECURITIES CO., LTD.",SHH
600919,0.0009,江苏银行,"Bank of Jiangsu Co., Ltd",SHH
600926,0.0004,杭州银行,"BANK OF HANGZHOU CO., LTD",SHH
600958,0.0043,东方证券,ORIENT SECURITIES COMPANY LIMITED,SHH
600959,0.0012,江苏有线,Jiangsu Broadcasting Cable Information Network Corporation Limited,SHH
600977,0.0007,中国电影,"CHINA FILM CO., LTD.",SHH
600999,0.0039,招商证券,China Merchants Securities Co Ltd,SHH
601006,0.0046,大秦铁路,Daqin Railway Co Ltd,SHH
601009,0.0037,南京银行,Bank of Nanjing Co Ltd,SHH
601018,0.002,宁波港,Ningbo Port Co Ltd,SHH
601021,0.0008,春秋航空,"Spring Airlines Co., Ltd.",SHH
601088,0.0041,中国神华,China Shenhua Energy Co Ltd,SHH
601099,0.0023,太平洋,The Pacific Securities Co.Ltd,SHH
601111,0.002,中国国航,Air China Ltd,SHH
601117,0.0011,中国化学,China National Chemical Engineering Co Ltd,SHH
601118,0.0008,海南橡胶,China Hainan Rubber Industry Group Co Ltd,SHH
601127,0.0003,小康股份,"Chongqing Sokon Industry Group Co.,Ltd",SHH
601155,0.002,新城控股,"Future Land Holdings Co., Ltd.",SHH
601163,0.0005,三角轮胎,"TRIANGLE TYRE CO., LTD.",SHH
601166,0.0192,兴业银行,Industrial Bank,SHH
601169,0.0095,北京银行,Bank of Beijing Co Ltd,SHH
601186,0.0048,中国铁建,China Railway Construction Co Ltd,SHH
601198,0.0016,东兴证券,"DONGXING SECURITIES CO., LTD.",SHH
601211,0.008,国泰君安,"Guotai Junan Securities Co., Ltd.",SHH
601216,0.0015,君正集团,"Inner Mongolia Junzheng Energy & Chemical Group Co.,Ltd.",SHH
601225,0.0023,陕西煤业,Shaanxi Coal Industry Company Limited,SHH
601229,0.0011,上海银行,"Bank of Shanghai Co., Ltd.",SHH
601288,0.0126,农业银行,Agricultural Bank of China Co Ltd,SHH
601318,0.0666,中国平安,Ping An Insurance (Group) Company of China Ltd,SHH
601328,0.0152,交通银行,Bank of Communications Co LTD,SHH
601333,0.0015,广深铁路,Guangshen Railway Company Limited,SHH
601336,0.0046,新华保险,New China Life Insurance Co Ltd,SHH
601375,0.0005,中原证券,"CENTRAL CHINA SECURITIES CO., LTD.",SHH
601377,0.0033,兴业证券,Industrial Securities Co Ltd,SHH
601390,0.0057,中国中铁,China Railway Group Limited,SHH
601398,0.0112,工商银行,Industrial and Commercial Bank of China Ltd,SHH
601555,0.0023,东吴证券,Soochow Securities Co Ltd,SHH
601600,0.0047,中国铝业,Aluminum Corporation of China Limited,SHH
601601,0.0115,中国太保,China Pacific Insurance (Group) Co Ltd,SHH
601607,0.0025,上海医药,"Shanghai Pharmaceuticals Holding Co.,Ltd",SHH
601608,0.0007,中信重工,"CITIC HEAVY INDUSTRIES CO., LTD.",SHH
601611,0.0005,中国核建,China Nuclear Engineering Corporation Limited,SHH
601618,0.0023,中国中冶,Metallurgical Corporation of China Co Ltd,SHH
601628,0.0045,中国人寿,China Life Insurance Company Limited,SHH
601633,0.0012,长城汽车,Great Wall Motor Co Ltd,SHH
601668,0.0127,中国建筑,China State Construction Engineering Co Ltd,SHH
601669,0.0029,中国电建,"Power Construction Corporation of China,Ltd",SHH
601688,0.0055,华泰证券,Huatai Securities Co Ltd,SHH
601718,0.0008,际华集团,Jihua Group Co Ltd,SHH
601727,0.0021,上海电气,Shanghai Electric Group Co Ltd,SHH
601766,0.0099,中国中车,CRRC Corporation Limited,SHH
601788,0.0026,光大证券,Everbright Securities Co Ltd,SHH
601800,0.0019,中国交建,China Communications Construction Company Limited,SHH
601818,0.0059,光大银行,China Everbright Bank Co Ltd,SHH
601857,0.0035,中国石油,PetroChina Co Ltd,SHH
601866,0.001,中远海发,"COSCO SHIPPING Development Co.,Ltd.",SHH
601872,0.0008,招商轮船,"China Merchants Energy Shipping Co., Ltd.",SHH
601877,0.0009,正泰电器,Zhejiang Chint Electrics Co Ltd,SHH
601881,0.0007,中国银河,"China Galaxy Securities Co., Ltd.",SHH
601888,0.0036,中国国旅,China International Travel Service Co Ltd,SHH
601899,0.0036,紫金矿业,Zijin Mining Group Co Ltd,SHH
601901,0.0028,方正证券,Founder Securities Co Ltd,SHH
601919,0.0021,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",SHH
601933,0.0031,永辉超市,Yonghui Superstores Co Ltd,SHH
601939,0.0042,建设银行,China Construction Bank,SHH
601958,0.0006,金钼股份,Jinduicheng Molybdenum Co Ltd,SHH
601966,0.0004,玲珑轮胎,"Shandong Linglong Tyre Co., Ltd.",SHH
601985,0.003,中国核电,"China National Nuclear Power Co.,Ltd.",SHH
601988,0.0073,中国银行,Bank of China Ltd,SHH
601989,0.0052,中国重工,China Shipbuilding Industry Co Ltd,SHH
601992,0.0017,金隅股份,BBMG Corporation,SHH
601997,0.0009,贵阳银行,"Bank of Guiyang Co.,Ltd.",SHH
601998,0.0017,中信银行,China Citic Bank Corporation Limited,SHH
603160,0.0005,汇顶科技,"Shenzhen Huiding Technology Co., Ltd.",SHH
603858,0.0004,步长制药,"SHANDONG BUCHANG PHARMACEUTICALS CO., LTD.",SHH
603993,0.0017,洛阳钼业,"China Molybdenum Co., Ltd.",SHH
1,0.0101,平安银行,"Ping An Bank Co., Ltd.",SHZ
2,0.0187,万科Ａ,China Vanke Co Ltd,SHZ
8,0.0013,神州高铁,"China High-Speed Railway Technology Co., Ltd.",SHZ
9,0.0014,中国宝安,"China Baoan Group Co.,Ltd.",SHZ
60,0.0016,中金岭南,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,SHZ
63,0.0069,中兴通讯,ZTE Corporation,SHZ
69,0.0026,华侨城Ａ,Shenzhen Overseas Chinese Town Co Ltd,SHZ
100,0.0027,TCL集团,TCL Corporation,SHZ
156,0.0007,华数传媒,"WASU MEDIA HOLDING CO., LTD",SHZ
157,0.0017,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,SHZ
166,0.003,申万宏源,"Shenwan Hongyuan Group CO., LTD",SHZ
333,0.0204,美的集团,"Midea Group CO., LTD",SHZ
338,0.0035,潍柴动力,Wei Chai Power Co Ltd,SHZ
402,0.0012,金 融 街,Financial Street Holding Co Ltd,SHZ
413,0.0021,东旭光电,"Dongxu Optoelectronic Technology Co., Ltd.",SHZ
415,0.001,渤海金控,"Bohai Financial Investment Holding Co.,Ltd.",SHZ
423,0.0028,东阿阿胶,Shandong Dong-Ee Jiao Co Ltd,SHZ
425,0.0014,徐工机械,XCMG Construction Machinery Co Ltd,SHZ
503,0.0016,海虹控股,Searainbow Holding Corp,SHZ
538,0.0043,云南白药,"Yunnan Baiyao Group Co., Ltd.",SHZ
540,0.0018,中天金融,Zhongtian Financial Group Company Limited,SHZ
555,0.0004,神州信息,Digital China Information Service Company Ltd.,SHZ
559,0.0012,万向钱潮,Wanxiang Qianchao Co Ltd,SHZ
568,0.0037,泸州老窖,Luzhou Lao Jiao Co Ltd,SHZ
623,0.0019,吉林敖东,"Jilin Aodong Pharmaceutical Group Co., Ltd.",SHZ
625,0.0023,长安汽车,Chongqing Changan Automobile Co Ltd,SHZ
627,0.0012,天茂集团,Hubei Biocause Pharmaceutical Co Ltd,SHZ
630,0.0016,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd,SHZ
651,0.018,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",SHZ
671,0.001,阳光城,"Sunshine City Group Co., Ltd.",SHZ
686,0.0012,东北证券,Northeast Securities Co Ltd,SHZ
709,0.0016,河钢股份,HESTEEL COMPANY LIMITED,SHZ
718,0.0007,苏宁环球,Suning Universal Co Ltd,SHZ
725,0.0112,京东方A,BOE Technology Group Co Ltd,SHZ
728,0.0022,国元证券,Guoyuan Securities Company Limited,SHZ
738,0.0007,航发控制,"AECC AERO-ENGINE CONTROL CO.,LTD.",SHZ
750,0.0014,国海证券,"Sealand Securities Co., Ltd.",SHZ
768,0.0021,中航飞机,"Avic Aircraft Co.,Ltd.",SHZ
776,0.0046,广发证券,"GF Securities Co., Ltd.",SHZ
783,0.0026,长江证券,Changjiang Securities Company Limited,SHZ
792,0.0017,盐湖股份,Qinghai Salt Lake Industry Co Ltd,SHZ
793,0.0019,华闻传媒,China Media Group,SHZ
826,0.0016,启迪桑德,"TUS-SOUND ENVIRONMENTAL RESOURCES CO., LTD.",SHZ
839,0.0023,中信国安,CITIC Guoan Information Industry Co Ltd,SHZ
858,0.0109,五 粮 液,Wuliangye Yibin Co Ltd,SHZ
876,0.0014,新 希 望,"NEW HOPE LIUHE CO., LTD",SHZ
895,0.0022,双汇发展,Henan Shuanghui Investment & Development Co Ltd,SHZ
917,0.0009,电广传媒,Hunan TV & Broadcast Intermediary Co Ltd,SHZ
938,0.0009,紫光股份,"Unisplendour Co., Ltd.",SHZ
959,0.0009,首钢股份,Beijing Shougang Co Ltd,SHZ
961,0.0006,中南建设,"Jiangsu Zhongnan Construction Group Co.,Ltd",SHZ
963,0.0021,华东医药,Huadong Medicine Co Ltd,SHZ
977,0.0013,浪潮信息,"Inspur Electronic Information Industry Co.,Ltd",SHZ
983,0.0014,西山煤电,Shanxi Xishan Coal And Electricity Power Co Ltd,SHZ
1979,0.0041,招商蛇口,"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD",SHZ
2007,0.0014,华兰生物,Hualan Biological Engineering INC,SHZ
2008,0.0036,大族激光,"Han's Laser Technology Industry Group Co., Ltd.",SHZ
2024,0.0039,苏宁云商,"SUNING COMMERCE GROUP CO., LTD.",SHZ
2027,0.0018,分众传媒,"Focus Media Information Technology Co., Ltd.",SHZ
2044,0.0018,美年健康,"Meinian Onehealth Healthcare Holdings Co., Ltd.",SHZ
2049,0.0015,紫光国芯,"Unigroup Guoxin Co., Ltd.",SHZ
2065,0.0016,东华软件,"DHC Software Co.,Ltd.",SHZ
2074,0.0014,国轩高科,"GUOXUAN HIGH-TECH CO.,LTD.",SHZ
2081,0.002,金螳螂,Suzhou Gold Mantis Construction Decoration Co Ltd,SHZ
2131,0.0007,利欧股份,"LEO GROUP CO., LTD.",SHZ
2142,0.0041,宁波银行,Bank of Ningbo Co Ltd,SHZ
2146,0.0013,荣盛发展,Risesun Real Estate Development Co Ltd,SHZ
2152,0.0007,广电运通,GRG Banking Equipment Co Ltd,SHZ
2153,0.0008,石基信息,Beijing Shiji Information Technology Co Ltd,SHZ
2174,0.0006,游族网络,"YOUZU Interactive CO., LTD.",SHZ
2183,0.001,怡亚通,Eternal Asia Supply Chain Management Ltd,SHZ
2195,0.001,二三四五,"Shanghai 2345 Network Holding Group Co., Ltd.",SHZ
2202,0.0028,金风科技,Xinjiang Goldwind Science & Technology Co Ltd,SHZ
2230,0.0056,科大讯飞,"Iflytek Co.,Ltd.",SHZ
2236,0.0031,大华股份,Zhejiang Dahua Technology Co Ltd,SHZ
2241,0.0032,歌尔股份,GoerTek Inc,SHZ
2252,0.0026,上海莱士,Shanghai RAAS Blood Products Co Ltd,SHZ
2292,0.0007,奥飞娱乐,Alpha Group,SHZ
2299,0.0006,圣农发展,Fujian Sunner Development Co Ltd,SHZ
2304,0.0055,洋河股份,Jiangsu Yanghe Brewery Joint-Stock Co Ltd,SHZ
2310,0.0019,东方园林,Beijing Orient Landscape Co Ltd,SHZ
2352,0.001,顺丰控股,"S.F. Holding Co., Ltd.",SHZ
2385,0.0012,大北农,Beijing Dabeinong Technology Group Co Ltd,SHZ
2411,0.0011,必康股份,JiangSu Bicon Pharmaceutical Listed Company,SHZ
2415,0.012,海康威视,Hangzhou Hikvision Digital Technology Co Ltd,SHZ
2424,0.0006,贵州百灵,Guizhou Bailing Group Pharmaceutical Co Ltd,SHZ
2426,0.0011,胜利精密,Suzhou Victory Precision Manufacture Co Ltd,SHZ
2450,0.0051,康得新,"Kangde Xin Composite Material Group Co.,Ltd.",SHZ
2456,0.0037,欧菲科技,"O-film Tech Co., Ltd.",SHZ
2465,0.0013,海格通信,Guangzhou Haige Communications Group Incorporated Company,SHZ
2466,0.0032,天齐锂业,"Tianqi Lithium Industries, Inc.",SHZ
2470,0.0013,金正大,"Kingenta Ecological Engineering Group Co., Ltd",SHZ
2475,0.0026,立讯精密,"Luxshare Precision Industry Co., Ltd.",SHZ
2500,0.0015,山西证券,Shanxi Securities Co Ltd,SHZ
2508,0.0019,老板电器,Hangzhou Robam Appliances Co Ltd,SHZ
2555,0.0007,三七互娱,"Wuhu Shunrong Sanqi Interactive Entertainment Network Technology Co.,Ltd.",SHZ
2558,0.0008,巨人网络,"Giant Network Group Co., Ltd.",SHZ
2594,0.003,比亚迪,BYD Co Ltd,SHZ
2602,0.0009,世纪华通,"ZHEJIANG CENTURY HUATONG GROUP CO., LTD",SHZ
2673,0.002,西部证券,"WESTERN SECURITIES CO., LTD",SHZ
2714,0.0014,牧原股份,"Muyuan Foodstuff Co., Ltd",SHZ
2736,0.0027,国信证券,"GUOSEN SECURITIES CO., LTD.",SHZ
2739,0.0022,万达电影,"WANDA FILM HOLDING CO., LTD",SHZ
2797,0.0003,第一创业,"First Capital Securities Co., Ltd.",SHZ
2831,0.0003,裕同科技,"ShenZhen YUTO Packaging Technology Co., Ltd.",SHZ
2839,0.0002,张家港行,"Jiangsu Zhangjiagang Rural Commercial Bank Co., Ltd",SHZ
2841,0.0003,视源股份,Guangzhou Shiyuan Electronic Technology Company Limited,SHZ
300017,0.0012,网宿科技,"Wangsu Science and Technology Co.,Ltd.",SHZ
300024,0.0019,机器人,Siasun Robot & Automation Co Ltd,SHZ
300027,0.0012,华谊兄弟,Huayi Brothers Media Co Ltd,SHZ
300033,0.0009,同花顺,"Hithink Royalflush Information Network Co.,Ltd.",SHZ
300059,0.0031,东方财富,East Money Information Co Ltd,SHZ
300070,0.0028,碧水源,Beijing Originwater Technology Co Ltd,SHZ
300072,0.0027,三聚环保,Beijing SJ Environmental Protection and New Material Co Ltd,SHZ
300104,0.0032,乐视网,Leshi Internet Information & Technology Corp Beijing,SHZ
300124,0.0023,汇川技术,Shenzhen Inovance Technology Co Ltd,SHZ
300133,0.0006,华策影视,Zhejiang Huace Film & TV Co Ltd,SHZ
300144,0.0012,宋城演艺,"SONGCHENG PERFORMANCE DEVELOPMENT CO., LTD.",SHZ
300168,0.0008,万达信息,Wonders Information Co Ltd,SHZ
300251,0.0007,光线传媒,Beijing Enlight Media Co Ltd,SHZ
300315,0.001,掌趣科技,"OURPALM CO., LTD",SHZ
